date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-05-21,knife,43.0,White,North Charleston,South Carolina,False,attack,Not fleeing,False,-80.078,32.858
2015-05-21,knife,24.0,Hispanic,Hackensack,New Jersey,True,other,Not fleeing,False,-74.041,40.901
2015-05-21,gun,32.0,Black,Charleston,South Carolina,False,attack,Not fleeing,False,-79.938,32.778
2015-05-22,toy gun,40.0,White,Somerset,Pennsylvania,False,attack,Not fleeing,False,-79.075,40.033
2015-05-23,gun,47.0,White,Sedalia,Missouri,False,attack,Not fleeing,False,-93.515,38.658
2015-05-23,gun,40.0,White,Eagar,Arizona,False,attack,Car,False,-109.33,34.094
2015-05-23,gun,25.0,Black,Detroit,Michigan,True,attack,Not fleeing,False,-83.187,42.386
2015-05-25,gun,31.0,White,Austin,Texas,True,attack,Not fleeing,False,-97.721,30.332
2015-05-25,knife,36.0,Black,Huntsville,Alabama,True,attack,Not fleeing,False,-86.564,34.614
2015-05-26,gun,51.0,Black,Queens,New York,False,attack,Not fleeing,False,-73.889,40.657
2015-05-26,NG,24.0,White,Bossier City,Louisiana,False,attack,Not fleeing,False,-93.708,32.517
2015-05-26,gun,62.0,White,Snohomish,Washington,True,attack,Not fleeing,False,-122.014,47.838
2015-05-27,knife,39.0,White,Ideal Beach,New Jersey,False,attack,Not fleeing,False,-74.113,40.444
2015-05-27,toy gun,24.0,White,Edmond,Oklahoma,True,attack,Not fleeing,False,-97.455,35.634
2015-05-27,knife,57.0,White,Rockville,Georgia,True,attack,Not fleeing,False,-83.206,33.344
2015-05-27,unarmed,20.0,NG,Long Beach,California,False,other,Not fleeing,False,-118.139,33.785
2015-05-27,sharp object,33.0,White,Alpine,California,True,other,Not fleeing,False,-116.699,32.751
2015-05-28,gun,60.0,White,Lancaster,South Carolina,False,attack,Not fleeing,False,-80.797,34.794
2015-05-28,gun,32.0,Black,Northglenn,Colorado,False,attack,Not fleeing,False,-104.976,39.894
2015-05-28,gun,40.0,Black,Carrollton,Georgia,False,attack,Not fleeing,False,-85.049,33.59
2015-05-28,sharp object,18.0,White,Trenton,Michigan,False,attack,Not fleeing,False,-83.216,42.14
2015-05-29,knife,36.0,Black,Lyndhurst,New Jersey,False,other,Not fleeing,False,-74.125,40.812
2015-05-29,gun,35.0,White,Okmulgee County,Oklahoma,False,attack,Not fleeing,False,-95.891,35.842
2015-05-29,gun,55.0,White,Wilderville,Oregon,False,attack,Not fleeing,False,-123.446,42.36
